projID,projectName,metricName,reportingMonth,totalVolume,achieveVolume,metricPerformance
acosta,Acosta_ServiceDesk,Average Speed to Answer,2/1/2015,372,455,413.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,3/1/2015,710,891,800.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,4/1/2015,523,993,758.00
acosta,Acosta_ServiceDesk,Average Speed to Answer,5/1/2015,66,412,239.00
acosta,Acosta_ServiceDesk,Average Speed to Answer,6/1/2015,455,900,677.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,7/1/2015,778,915,846.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,8/1/2015,817,979,898.00
acosta,Acosta_ServiceDesk,Average Speed to Answer,9/1/2015,1000,1000,1000.00
acosta,Acosta_ServiceDesk,Average Speed to Answer,10/1/2015,157,358,257.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,11/1/2015,504,943,723.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,12/1/2015,239,963,601.00
acosta,Acosta_ServiceDesk,Average Speed to Answer,1/1/2016,33,879,456.00
acosta,Acosta_ServiceDesk,Average Speed to Answer,2/1/2016,365,997,681.00
acosta,Acosta_ServiceDesk,Average Speed to Answer,3/1/2016,495,497,496.00
acosta,Acosta_ServiceDesk,Average Speed to Answer,4/1/2016,664,983,823.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,5/1/2016,66,326,196.00
acosta,Acosta_ServiceDesk,Average Speed to Answer,6/1/2016,44,877,460.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,7/1/2016,136,959,547.50
acosta,Acosta_ServiceDesk,Average Speed to Answer,8/1/2016,835,960,897.50
acosta,Acosta_ServiceDesk,Average Talk Time,1/1/2015,124,658,391.00
acosta,Acosta_ServiceDesk,Average Talk Time,2/1/2015,292,898,595.00
acosta,Acosta_ServiceDesk,Average Talk Time,3/1/2015,20,999,509.50
acosta,Acosta_ServiceDesk,Average Talk Time,4/1/2015,759,763,761.00
acosta,Acosta_ServiceDesk,Average Talk Time,5/1/2015,573,717,645.00
acosta,Acosta_ServiceDesk,Average Talk Time,6/1/2015,928,934,931.00
acosta,Acosta_ServiceDesk,Average Talk Time,7/1/2015,402,850,626.00
acosta,Acosta_ServiceDesk,Average Talk Time,8/1/2015,322,742,532.00
acosta,Acosta_ServiceDesk,Average Talk Time,9/1/2015,346,465,405.50
acosta,Acosta_ServiceDesk,Average Talk Time,10/1/2015,447,610,528.50
acosta,Acosta_ServiceDesk,Average Talk Time,11/1/2015,966,972,969.00
acosta,Acosta_ServiceDesk,Average Talk Time,12/1/2015,327,627,477.00
acosta,Acosta_ServiceDesk,Average Talk Time,1/1/2016,406,886,646.00
acosta,Acosta_ServiceDesk,Average Talk Time,2/1/2016,141,142,141.50
acosta,Acosta_ServiceDesk,Average Talk Time,3/1/2016,987,992,989.50
acosta,Acosta_ServiceDesk,Average Talk Time,4/1/2016,492,554,523.00
acosta,Acosta_ServiceDesk,Average Talk Time,5/1/2016,137,739,438.00
acosta,Acosta_ServiceDesk,Average Talk Time,6/1/2016,808,964,886.00
acosta,Acosta_ServiceDesk,Average Talk Time,7/1/2016,692,763,727.50
acosta,Acosta_ServiceDesk,Average Talk Time,8/1/2016,875,910,892.50
acosta,Acosta_ServiceDesk,Average Wrap Time,1/1/2015,759,974,866.50
acosta,Acosta_ServiceDesk,Average Wrap Time,2/1/2015,794,935,864.50
acosta,Acosta_ServiceDesk,Average Wrap Time,3/1/2015,451,656,553.50
acosta,Acosta_ServiceDesk,Average Wrap Time,4/1/2015,274,528,401.00
acosta,Acosta_ServiceDesk,Average Wrap Time,5/1/2015,528,778,653.00
acosta,Acosta_ServiceDesk,Average Wrap Time,6/1/2015,617,945,781.00
acosta,Acosta_ServiceDesk,Average Wrap Time,7/1/2015,594,854,724.00
acosta,Acosta_ServiceDesk,Average Wrap Time,8/1/2015,372,898,635.00
acosta,Acosta_ServiceDesk,Average Wrap Time,9/1/2015,962,973,967.50
acosta,Acosta_ServiceDesk,Average Wrap Time,10/1/2015,639,678,658.50
acosta,Acosta_ServiceDesk,Average Wrap Time,11/1/2015,725,875,800.00
acosta,Acosta_ServiceDesk,Average Wrap Time,12/1/2015,505,843,674.00
acosta,Acosta_ServiceDesk,Average Wrap Time,1/1/2016,788,876,832.00
acosta,Acosta_ServiceDesk,Average Wrap Time,2/1/2016,24,346,185.00
acosta,Acosta_ServiceDesk,Average Wrap Time,3/1/2016,187,238,212.50
acosta,Acosta_ServiceDesk,Average Wrap Time,4/1/2016,324,940,632.00
acosta,Acosta_ServiceDesk,Average Wrap Time,5/1/2016,635,909,772.00
acosta,Acosta_ServiceDesk,Average Wrap Time,6/1/2016,203,295,249.00
acosta,Acosta_ServiceDesk,Average Wrap Time,7/1/2016,636,734,685.00
acosta,Acosta_ServiceDesk,Average Wrap Time,8/1/2016,520,641,580.50
acosta,Acosta_ServiceDesk,Chat Service Level,1/1/2015,593,868,0.68
acosta,Acosta_ServiceDesk,Chat Service Level,2/1/2015,670,920,0.73
acosta,Acosta_ServiceDesk,Chat Service Level,3/1/2015,977,987,0.99
acosta,Acosta_ServiceDesk,Chat Service Level,4/1/2015,441,455,0.97
acosta,Acosta_ServiceDesk,Chat Service Level,5/1/2015,289,927,0.31
acosta,Acosta_ServiceDesk,Chat Service Level,6/1/2015,657,720,0.91
acosta,Acosta_ServiceDesk,Chat Service Level,7/1/2015,800,977,0.82
acosta,Acosta_ServiceDesk,Chat Service Level,8/1/2015,674,862,0.78
acosta,Acosta_ServiceDesk,Chat Service Level,9/1/2015,50,243,0.21
acosta,Acosta_ServiceDesk,Chat Service Level,10/1/2015,269,308,0.87
acosta,Acosta_ServiceDesk,Chat Service Level,11/1/2015,401,976,0.41
acosta,Acosta_ServiceDesk,Chat Service Level,12/1/2015,55,697,0.08
acosta,Acosta_ServiceDesk,Chat Service Level,1/1/2016,262,533,0.49
acosta,Acosta_ServiceDesk,Chat Service Level,2/1/2016,475,630,0.75
acosta,Acosta_ServiceDesk,Chat Service Level,3/1/2016,128,575,0.22
acosta,Acosta_ServiceDesk,Chat Service Level,4/1/2016,857,967,0.89
acosta,Acosta_ServiceDesk,Chat Service Level,5/1/2016,544,563,0.97
acosta,Acosta_ServiceDesk,Chat Service Level,6/1/2016,427,889,0.48
acosta,Acosta_ServiceDesk,Chat Service Level,7/1/2016,235,508,0.46
acosta,Acosta_ServiceDesk,Chat Service Level,8/1/2016,926,975,0.95
acosta,Acosta_ServiceDesk,First Call Closure,1/1/2015,618,730,0.85
acosta,Acosta_ServiceDesk,First Call Closure,2/1/2015,932,977,0.95
acosta,Acosta_ServiceDesk,First Call Closure,3/1/2015,896,991,0.90
acosta,Acosta_ServiceDesk,First Call Closure,4/1/2015,980,986,0.99
acosta,Acosta_ServiceDesk,First Call Closure,5/1/2015,357,742,0.48
acosta,Acosta_ServiceDesk,First Call Closure,6/1/2015,606,810,0.75
acosta,Acosta_ServiceDesk,First Call Closure,7/1/2015,189,452,0.42
acosta,Acosta_ServiceDesk,First Call Closure,8/1/2015,890,971,0.92
acosta,Acosta_ServiceDesk,First Call Closure,9/1/2015,743,938,0.79
acosta,Acosta_ServiceDesk,First Call Closure,10/1/2015,4,989,0.00
acosta,Acosta_ServiceDesk,First Call Closure,11/1/2015,737,844,0.87
acosta,Acosta_ServiceDesk,First Call Closure,12/1/2015,684,953,0.72
acosta,Acosta_ServiceDesk,First Call Closure,1/1/2016,944,959,0.98
acosta,Acosta_ServiceDesk,First Call Closure,2/1/2016,171,302,0.57
acosta,Acosta_ServiceDesk,First Call Closure,3/1/2016,423,932,0.45
acosta,Acosta_ServiceDesk,First Call Closure,4/1/2016,512,942,0.54
acosta,Acosta_ServiceDesk,First Call Closure,5/1/2016,446,907,0.49
acosta,Acosta_ServiceDesk,First Call Closure,6/1/2016,104,878,0.12
acosta,Acosta_ServiceDesk,First Call Closure,7/1/2016,233,771,0.30
acosta,Acosta_ServiceDesk,First Call Closure,8/1/2016,820,994,0.82
acosta,Acosta_ServiceDesk,First Tier Closure,1/1/2015,344,752,0.46
acosta,Acosta_ServiceDesk,First Tier Closure,2/1/2015,598,617,0.97
acosta,Acosta_ServiceDesk,First Tier Closure,3/1/2015,723,823,0.88
acosta,Acosta_ServiceDesk,First Tier Closure,4/1/2015,140,844,0.17
acosta,Acosta_ServiceDesk,First Tier Closure,5/1/2015,842,852,0.99
acosta,Acosta_ServiceDesk,First Tier Closure,6/1/2015,839,893,0.94
acosta,Acosta_ServiceDesk,First Tier Closure,7/1/2015,960,997,0.96
acosta,Acosta_ServiceDesk,First Tier Closure,8/1/2015,643,961,0.67
acosta,Acosta_ServiceDesk,First Tier Closure,9/1/2015,338,668,0.51
acosta,Acosta_ServiceDesk,First Tier Closure,10/1/2015,435,550,0.79
acosta,Acosta_ServiceDesk,First Tier Closure,11/1/2015,631,645,0.98
acosta,Acosta_ServiceDesk,First Tier Closure,12/1/2015,946,987,0.96
acosta,Acosta_ServiceDesk,First Tier Closure,1/1/2016,197,952,0.21
acosta,Acosta_ServiceDesk,First Tier Closure,2/1/2016,150,814,0.18
acosta,Acosta_ServiceDesk,First Tier Closure,3/1/2016,105,328,0.32
acosta,Acosta_ServiceDesk,First Tier Closure,4/1/2016,752,754,1.00
acosta,Acosta_ServiceDesk,First Tier Closure,5/1/2016,319,538,0.59
acosta,Acosta_ServiceDesk,First Tier Closure,6/1/2016,445,846,0.53
acosta,Acosta_ServiceDesk,First Tier Closure,7/1/2016,710,867,0.82
acosta,Acosta_ServiceDesk,First Tier Closure,8/1/2016,270,644,0.42
acosta,Acosta_ServiceDesk,Inbound Call Volume,1/1/2015,340,566,0.60
acosta,Acosta_ServiceDesk,Inbound Call Volume,2/1/2015,345,399,0.86
acosta,Acosta_ServiceDesk,Inbound Call Volume,3/1/2015,516,674,0.77
acosta,Acosta_ServiceDesk,Inbound Call Volume,4/1/2015,9,106,0.08
acosta,Acosta_ServiceDesk,Inbound Call Volume,5/1/2015,578,967,0.60
acosta,Acosta_ServiceDesk,Inbound Call Volume,6/1/2015,346,979,0.35
acosta,Acosta_ServiceDesk,Inbound Call Volume,7/1/2015,692,797,0.87
acosta,Acosta_ServiceDesk,Inbound Call Volume,8/1/2015,728,926,0.79
acosta,Acosta_ServiceDesk,Inbound Call Volume,9/1/2015,628,879,0.71
acosta,Acosta_ServiceDesk,Inbound Call Volume,10/1/2015,927,939,0.99
acosta,Acosta_ServiceDesk,Inbound Call Volume,11/1/2015,827,977,0.85
acosta,Acosta_ServiceDesk,Inbound Call Volume,12/1/2015,773,933,0.83
acosta,Acosta_ServiceDesk,Inbound Call Volume,1/1/2016,740,855,0.87
acosta,Acosta_ServiceDesk,Inbound Call Volume,2/1/2016,610,902,0.68
acosta,Acosta_ServiceDesk,Inbound Call Volume,3/1/2016,761,969,0.79
acosta,Acosta_ServiceDesk,Inbound Call Volume,4/1/2016,988,994,0.99
acosta,Acosta_ServiceDesk,Inbound Call Volume,5/1/2016,928,981,0.95
acosta,Acosta_ServiceDesk,Inbound Call Volume,6/1/2016,584,883,0.66
acosta,Acosta_ServiceDesk,Inbound Call Volume,7/1/2016,447,962,0.46
acosta,Acosta_ServiceDesk,Inbound Call Volume,8/1/2016,85,550,0.15
acosta,Acosta_ServiceDesk,Phone Service Level,1/1/2015,403,638,0.63
acosta,Acosta_ServiceDesk,Phone Service Level,2/1/2015,86,95,0.91
acosta,Acosta_ServiceDesk,Phone Service Level,3/1/2015,739,920,0.80
acosta,Acosta_ServiceDesk,Phone Service Level,4/1/2015,491,661,0.74
acosta,Acosta_ServiceDesk,Phone Service Level,5/1/2015,129,976,0.13
acosta,Acosta_ServiceDesk,Phone Service Level,6/1/2015,835,864,0.97
acosta,Acosta_ServiceDesk,Phone Service Level,7/1/2015,635,835,0.76
acosta,Acosta_ServiceDesk,Phone Service Level,8/1/2015,628,783,0.80
acosta,Acosta_ServiceDesk,Phone Service Level,9/1/2015,772,889,0.87
acosta,Acosta_ServiceDesk,Phone Service Level,10/1/2015,806,833,0.97
acosta,Acosta_ServiceDesk,Phone Service Level,11/1/2015,619,749,0.83
acosta,Acosta_ServiceDesk,Phone Service Level,12/1/2015,388,992,0.39
acosta,Acosta_ServiceDesk,Phone Service Level,1/1/2016,843,924,0.91
acosta,Acosta_ServiceDesk,Phone Service Level,2/1/2016,848,916,0.93
acosta,Acosta_ServiceDesk,Phone Service Level,3/1/2016,199,653,0.30
acosta,Acosta_ServiceDesk,Phone Service Level,4/1/2016,886,949,0.93
acosta,Acosta_ServiceDesk,Phone Service Level,5/1/2016,222,811,0.27
acosta,Acosta_ServiceDesk,Phone Service Level,6/1/2016,110,197,0.56
acosta,Acosta_ServiceDesk,Phone Service Level,7/1/2016,757,906,0.84
acosta,Acosta_ServiceDesk,Phone Service Level,8/1/2016,276,737,0.37
acosta,Acosta_ServiceDesk,Web Service Level,1/1/2015,903,985,0.92
acosta,Acosta_ServiceDesk,Web Service Level,2/1/2015,934,952,0.98
acosta,Acosta_ServiceDesk,Web Service Level,3/1/2015,216,908,0.24
acosta,Acosta_ServiceDesk,Web Service Level,4/1/2015,492,816,0.60
acosta,Acosta_ServiceDesk,Web Service Level,5/1/2015,702,896,0.78
acosta,Acosta_ServiceDesk,Web Service Level,6/1/2015,831,842,0.99
acosta,Acosta_ServiceDesk,Web Service Level,7/1/2015,680,990,0.69
acosta,Acosta_ServiceDesk,Web Service Level,8/1/2015,710,889,0.80
acosta,Acosta_ServiceDesk,Web Service Level,9/1/2015,931,992,0.94
acosta,Acosta_ServiceDesk,Web Service Level,10/1/2015,574,635,0.90
acosta,Acosta_ServiceDesk,Web Service Level,11/1/2015,336,913,0.37
acosta,Acosta_ServiceDesk,Web Service Level,12/1/2015,697,723,0.96
acosta,Acosta_ServiceDesk,Web Service Level,1/1/2016,634,960,0.66
acosta,Acosta_ServiceDesk,Web Service Level,2/1/2016,292,937,0.31
acosta,Acosta_ServiceDesk,Web Service Level,3/1/2016,305,738,0.41
acosta,Acosta_ServiceDesk,Web Service Level,4/1/2016,473,977,0.48
acosta,Acosta_ServiceDesk,Web Service Level,5/1/2016,350,500,0.70
acosta,Acosta_ServiceDesk,Web Service Level,6/1/2016,230,561,0.41
acosta,Acosta_ServiceDesk,Web Service Level,7/1/2016,687,761,0.90
acosta,Acosta_ServiceDesk,Web Service Level,8/1/2016,338,492,0.69
amcor,Amcor,Abandon Rate,1/1/2015,814,977,0.83
amcor,Amcor,Abandon Rate,2/1/2015,347,390,0.89
amcor,Amcor,Abandon Rate,3/1/2015,981,984,1.00
amcor,Amcor,Abandon Rate,4/1/2015,761,873,0.87
amcor,Amcor,Abandon Rate,5/1/2015,464,740,0.63
amcor,Amcor,Abandon Rate,6/1/2015,132,740,0.18
amcor,Amcor,Abandon Rate,7/1/2015,850,970,0.88
amcor,Amcor,Abandon Rate,8/1/2015,955,999,0.96
amcor,Amcor,Abandon Rate,9/1/2015,702,862,0.81
amcor,Amcor,Abandon Rate,10/1/2015,18,266,0.07
amcor,Amcor,Abandon Rate,11/1/2015,670,860,0.78
amcor,Amcor,Abandon Rate,12/1/2015,756,804,0.94
amcor,Amcor,Abandon Rate,1/1/2016,466,768,0.61
amcor,Amcor,Abandon Rate,2/1/2016,544,894,0.61
amcor,Amcor,Abandon Rate,3/1/2016,187,464,0.40
amcor,Amcor,Abandon Rate,4/1/2016,997,999,1.00
amcor,Amcor,Abandon Rate,5/1/2016,215,219,0.98
amcor,Amcor,Abandon Rate,6/1/2016,844,900,0.94
amcor,Amcor,Abandon Rate,7/1/2016,411,474,0.87
amcor,Amcor,Abandon Rate,8/1/2016,599,821,0.73
amcor,Amcor,Average Handle Time,1/1/2015,794,911,852.50
amcor,Amcor,Average Handle Time,2/1/2015,122,684,403.00
amcor,Amcor,Average Handle Time,3/1/2015,313,895,604.00
amcor,Amcor,Average Handle Time,4/1/2015,246,869,557.50
amcor,Amcor,Average Handle Time,5/1/2015,283,963,623.00
amcor,Amcor,Average Handle Time,6/1/2015,180,537,358.50
amcor,Amcor,Average Handle Time,7/1/2015,870,890,880.00
amcor,Amcor,Average Handle Time,8/1/2015,30,721,375.50
amcor,Amcor,Average Handle Time,9/1/2015,988,993,990.50
amcor,Amcor,Average Handle Time,10/1/2015,92,342,217.00
amcor,Amcor,Average Handle Time,11/1/2015,152,721,436.50
amcor,Amcor,Average Handle Time,12/1/2015,636,831,733.50
amcor,Amcor,Average Handle Time,1/1/2016,845,993,919.00
amcor,Amcor,Average Handle Time,2/1/2016,532,827,679.50
amcor,Amcor,Average Handle Time,3/1/2016,811,914,862.50
amcor,Amcor,Average Handle Time,4/1/2016,860,928,894.00
amcor,Amcor,Average Handle Time,5/1/2016,343,995,669.00
amcor,Amcor,Average Handle Time,6/1/2016,572,591,581.50
amcor,Amcor,Average Handle Time,7/1/2016,997,1000,998.50
amcor,Amcor,Average Handle Time,8/1/2016,374,462,418.00
amcor,Amcor,Average Hold Time,1/1/2015,62,245,153.50
amcor,Amcor,Average Hold Time,2/1/2015,541,715,628.00
amcor,Amcor,Average Hold Time,3/1/2015,400,894,647.00
amcor,Amcor,Average Hold Time,4/1/2015,57,521,289.00
amcor,Amcor,Average Hold Time,5/1/2015,109,246,177.50
amcor,Amcor,Average Hold Time,6/1/2015,681,943,812.00
amcor,Amcor,Average Hold Time,7/1/2015,314,686,500.00
amcor,Amcor,Average Hold Time,8/1/2015,520,999,759.50
amcor,Amcor,Average Hold Time,9/1/2015,916,923,919.50
amcor,Amcor,Average Hold Time,10/1/2015,97,304,200.50
amcor,Amcor,Average Hold Time,11/1/2015,103,891,497.00
amcor,Amcor,Average Hold Time,12/1/2015,52,358,205.00
amcor,Amcor,Average Hold Time,1/1/2016,250,487,368.50
amcor,Amcor,Average Hold Time,2/1/2016,620,986,803.00
amcor,Amcor,Average Hold Time,3/1/2016,832,913,872.50
amcor,Amcor,Average Hold Time,4/1/2016,989,989,989.00
amcor,Amcor,Average Hold Time,5/1/2016,581,681,631.00
amcor,Amcor,Average Hold Time,6/1/2016,125,375,250.00
amcor,Amcor,Average Hold Time,7/1/2016,238,737,487.50
amcor,Amcor,Average Hold Time,8/1/2016,573,924,748.50
amcor,Amcor,Average Speed to Answer,1/1/2015,8,571,289.50
amcor,Amcor,Average Speed to Answer,2/1/2015,129,649,389.00
amcor,Amcor,Average Speed to Answer,3/1/2015,919,927,923.00
amcor,Amcor,Average Speed to Answer,4/1/2015,736,761,748.50
amcor,Amcor,Average Speed to Answer,5/1/2015,934,942,938.00
amcor,Amcor,Average Speed to Answer,6/1/2015,981,988,984.50
amcor,Amcor,Average Speed to Answer,7/1/2015,483,941,712.00
amcor,Amcor,Average Speed to Answer,8/1/2015,332,374,353.00
amcor,Amcor,Average Speed to Answer,9/1/2015,39,378,208.50
amcor,Amcor,Average Speed to Answer,10/1/2015,985,1000,992.50
amcor,Amcor,Average Speed to Answer,11/1/2015,119,593,356.00
amcor,Amcor,Average Speed to Answer,12/1/2015,551,929,740.00
amcor,Amcor,Average Speed to Answer,1/1/2016,821,888,854.50
amcor,Amcor,Average Speed to Answer,2/1/2016,419,771,595.00
amcor,Amcor,Average Speed to Answer,3/1/2016,951,955,953.00
amcor,Amcor,Average Speed to Answer,4/1/2016,247,954,600.50
amcor,Amcor,Average Speed to Answer,5/1/2016,528,836,682.00
amcor,Amcor,Average Speed to Answer,6/1/2016,199,444,321.50
amcor,Amcor,Average Speed to Answer,7/1/2016,723,894,808.50
amcor,Amcor,Average Speed to Answer,8/1/2016,522,666,594.00
amcor,Amcor,Average Talk Time,1/1/2015,677,836,756.50
amcor,Amcor,Average Talk Time,2/1/2015,209,509,359.00
amcor,Amcor,Average Talk Time,3/1/2015,907,987,947.00
amcor,Amcor,Average Talk Time,4/1/2015,95,791,443.00
amcor,Amcor,Average Talk Time,5/1/2015,635,838,736.50
amcor,Amcor,Average Talk Time,6/1/2015,467,980,723.50
amcor,Amcor,Average Talk Time,7/1/2015,537,591,564.00
amcor,Amcor,Average Talk Time,8/1/2015,135,869,502.00
amcor,Amcor,Average Talk Time,9/1/2015,683,849,766.00
amcor,Amcor,Average Talk Time,10/1/2015,995,995,995.00
amcor,Amcor,Average Talk Time,11/1/2015,807,874,840.50
amcor,Amcor,Average Talk Time,12/1/2015,173,754,463.50
amcor,Amcor,Average Talk Time,1/1/2016,218,674,446.00
amcor,Amcor,Average Talk Time,2/1/2016,415,961,688.00
amcor,Amcor,Average Talk Time,3/1/2016,364,396,380.00
amcor,Amcor,Average Talk Time,4/1/2016,784,941,862.50
amcor,Amcor,Average Talk Time,5/1/2016,866,969,917.50
amcor,Amcor,Average Talk Time,6/1/2016,876,886,881.00
amcor,Amcor,Average Talk Time,7/1/2016,366,904,635.00
amcor,Amcor,Average Talk Time,8/1/2016,978,987,982.50
amcor,Amcor,Average Wrap Time,1/1/2015,889,899,894.00
amcor,Amcor,Average Wrap Time,2/1/2015,420,882,651.00
amcor,Amcor,Average Wrap Time,3/1/2015,687,770,728.50
amcor,Amcor,Average Wrap Time,4/1/2015,849,864,856.50
amcor,Amcor,Average Wrap Time,5/1/2015,399,512,455.50
amcor,Amcor,Average Wrap Time,6/1/2015,473,585,529.00
amcor,Amcor,Average Wrap Time,7/1/2015,274,923,598.50
amcor,Amcor,Average Wrap Time,8/1/2015,753,954,853.50
amcor,Amcor,Average Wrap Time,9/1/2015,900,910,905.00
amcor,Amcor,Average Wrap Time,10/1/2015,471,557,514.00
amcor,Amcor,Average Wrap Time,11/1/2015,568,836,702.00
amcor,Amcor,Average Wrap Time,12/1/2015,102,662,382.00
amcor,Amcor,Average Wrap Time,1/1/2016,598,795,696.50
amcor,Amcor,Average Wrap Time,2/1/2016,277,762,519.50
amcor,Amcor,Average Wrap Time,3/1/2016,165,868,516.50
amcor,Amcor,Average Wrap Time,4/1/2016,994,999,996.50
amcor,Amcor,Average Wrap Time,5/1/2016,465,525,495.00
amcor,Amcor,Average Wrap Time,6/1/2016,893,989,941.00
amcor,Amcor,Average Wrap Time,7/1/2016,95,582,338.50
amcor,Amcor,Average Wrap Time,8/1/2016,913,919,916.00
amcor,Amcor,Chat Service Level,1/1/2015,718,888,0.81
amcor,Amcor,Chat Service Level,2/1/2015,461,760,0.61
amcor,Amcor,Chat Service Level,3/1/2015,197,703,0.28
amcor,Amcor,Chat Service Level,4/1/2015,11,58,0.19
amcor,Amcor,Chat Service Level,5/1/2015,613,911,0.67
amcor,Amcor,Chat Service Level,6/1/2015,118,524,0.23
amcor,Amcor,Chat Service Level,7/1/2015,230,563,0.41
amcor,Amcor,Chat Service Level,8/1/2015,180,228,0.79
amcor,Amcor,Chat Service Level,9/1/2015,52,194,0.27
amcor,Amcor,Chat Service Level,10/1/2015,544,925,0.59
amcor,Amcor,Chat Service Level,11/1/2015,242,716,0.34
